camis,dba,boro,building,street,zip,phone,cuisine_description,critical_flag,score,grade,is_closed,violation_count,inspection_year,inspection_month,inspection_day,total_inspections,violation_ratio
41487277,augurs well,manhattan,115,st marks place,10009.0,7182497645,american,13,13.38888888888889,2.1666666666666665,0,18,2019,05,03,18,1.0
41499313,yi hong restaurant,brooklyn,9103,avenue l,11236.0,7182416570,chinese,19,16.70967741935484,1.5483870967741935,1,31,2019,05,03,31,1.0
41504220,le pain quotidien,manhattan,1271,6 avenue,10020.0,6464624165,french,7,18.88888888888889,1.263157894736842,0,19,2019,05,03,19,1.0
41523650,new york yacht club,manhattan,37,west   44 street,10036.0,2123821000,american,20,25.0,1.1612903225806452,0,31,2019,05,03,31,1.0
41537594,take away cafe in rebekah rehab extended care center,bronx,1072,havemeyer avenue,10462.0,9143458001,sandwiches,1,5.0,3.0,0,6,2019,05,03,6,1.0
41546986,bedlam,manhattan,40,avenue c,10009.0,2122281049,american,13,12.263157894736842,2.526315789473684,0,19,2019,05,03,19,1.0
41549526,jennys roti shop,bronx,1262,castle hill avenue,10462.0,3472818558,caribbean,5,8.923076923076923,2.5384615384615383,0,13,2019,05,03,13,1.0
41557581,miss lilys,manhattan,132,west houston street,10012.0,6465885375,caribbean,17,15.307692307692308,1.7307692307692308,0,26,2019,05,03,26,1.0
41573306,red mango,manhattan,111,fulton street,10038.0,2123123120,american,8,9.166666666666666,3.0,0,12,2019,05,03,12,1.0
41583458,sprinkles cupcakes,manhattan,780,lexington avenue,10065.0,2122078375,bakery,6,14.565217391304348,1.4444444444444444,0,23,2019,05,03,27,0.8518518518518519
41601087,dblass restaurant,bronx,1346,edward l grant highway,10452.0,7185373040,latin cuban dominican puerto rican south  central american,43,23.472727272727273,0.6724137931034483,0,58,2019,05,03,58,1.0
41628361,the ainsworth,manhattan,121,fulton street,10038.0,6465456647,american,31,34.166666666666664,0.5,0,44,2019,05,03,48,0.9166666666666666
41630839,nomad,manhattan,1170,broadway,10001.0,2127961500,american,8,11.571428571428571,3.0,0,14,2019,05,03,14,1.0
41631965,kung fu tea,brooklyn,1422,avenue u,11229.0,7188199079,cafãcoffeetea,5,6.0,1.6875,0,15,2019,05,03,16,0.9375
41671540,dunkin,manhattan,1369,broadway,10018.0,6466493753,donuts,11,16.36842105263158,0.9473684210526315,0,17,2019,05,03,19,0.8947368421052632
41687715,golden krust caribbean bakery  grill,brooklyn,1887,rockaway parkway,11236.0,7182094242,caribbean,49,28.587628865979383,0.504424778761062,0,109,2019,05,03,113,0.9646017699115044
41690254,the flatiron room,manhattan,37,west   26 street,10010.0,2127253860,american,6,8.454545454545455,3.0,0,11,2019,05,03,11,1.0
41690338,tea bar,brooklyn,506,driggs avenue,11211.0,6463616839,cafãcoffeetea,6,8.0,3.0,0,11,2019,05,03,11,1.0
41690493,starbucks,manhattan,135,john street,10038.0,2123440894,cafãcoffeetea,8,23.058823529411764,0.8823529411764706,0,13,2019,05,03,17,0.7647058823529411
41698771,yummy yummy brooklyn,brooklyn,1349,rockaway parkway,11236.0,7189272900,chinese,16,14.758620689655173,1.6551724137931034,0,29,2019,05,03,29,1.0
41721324,starbucks,manhattan,822,lexington avenue,10065.0,2125720984,cafãcoffeetea,2,6.5,2.25,0,8,2019,05,03,8,1.0
50000346,silvana,manhattan,300,west 116th street,10026.0,6466924935,mediterranean,21,22.477272727272727,1.2954545454545454,0,44,2019,05,03,44,1.0
50000392,cheers thai restaurant,brooklyn,568,metropolitan ave,11211.0,7185994311,thai,14,12.318181818181818,1.7727272727272727,0,22,2019,05,03,22,1.0
50001320,super snacks,queens,4128,main st,11355.0,7188862294,chinese,15,14.1,1.95,0,20,2019,05,03,20,1.0
50001542,museum of sexplay,manhattan,233,5th avenue upper level,10016.0,2126896337,american,16,20.391304347826086,1.0,0,29,2019,05,03,30,0.9666666666666667
50002400,bagel boss,manhattan,544,3rd ave,10016.0,6463681880,jewishkosher,34,29.45,0.7096774193548387,0,60,2019,05,03,62,0.967741935483871
50003984,gb terminal deli,brooklyn,22,brooklyn terminal market,11236.0,7185317505,delicatessen,58,27.19047619047619,0.8181818181818182,0,86,2019,05,03,88,0.9772727272727273
50004299,emmetts,manhattan,50,macdougal st,10012.0,9176393571,american,26,16.72340425531915,0.9411764705882353,0,51,2019,05,03,51,1.0
50007127,gregorys coffee,manhattan,42,broadway,10004.0,6466829225,cafãcoffeetea,21,17.333333333333332,1.4545454545454546,0,33,2019,05,03,33,1.0
50008221,buona pizza restaurant,queens,3213,beach channel dr,11691.0,7184717171,pizza,28,20.829268292682926,1.1219512195121952,0,41,2019,05,03,41,1.0
50009345,melt shop,manhattan,111,fulton st,10038.0,6467417910,sandwichessaladsmixed buffet,6,9.0,2.5714285714285716,0,14,2019,05,03,14,1.0
50011097,oscars place,manhattan,466,hudson st,10014.0,2127416479,english,32,17.636363636363637,0.9454545454545454,0,55,2019,05,03,55,1.0
50012296,golden wok chinese restaurant,manhattan,209,8th ave,10011.0,2126200712,chinese,59,23.297619047619047,0.9186046511627907,0,86,2019,05,03,86,1.0
50012532,krush,manhattan,2,w 32nd st,10001.0,9178649456,american,23,19.59090909090909,1.0434782608695652,0,46,2019,05,03,46,1.0
50014605,morelos deli  fruit,staten island,6,cebra ave,10301.0,7182732050,spanish,16,15.1,1.5,0,32,2019,05,03,32,1.0
50017056,silver spoon diner,queens,5821,junction blvd,11373.0,7183933000,american,41,22.093333333333334,0.8641975308641975,0,81,2019,05,03,81,1.0
50017704,roclyns seafood  soul,bronx,969,ogden ave,10452.0,3472704247,soul food,25,24.0,1.1428571428571428,0,42,2019,05,03,42,1.0
50017919,smiths hells kitchen bar  restaurant,manhattan,701,8th ave,10036.0,2122472161,american,25,17.25,1.4651162790697674,0,43,2019,05,03,43,1.0
50032991,mi garba,manhattan,129,4th ave,10003.0,6466844797,italian,11,10.952380952380953,1.8888888888888888,0,27,2019,05,03,27,1.0
50033094,sofitel new york,manhattan,45,w 44th st,10036.0,2123548844,american,5,9.454545454545455,3.0,0,11,2019,05,03,11,1.0
50033660,rustys flavor,manhattan,2261,adam clayton powell jr blvd,10030.0,2123683403,caribbean,56,32.84615384615385,0.5321100917431193,0,101,2019,05,03,109,0.926605504587156
50034453,dunkin donuts,queens,16910,hillside ave,11432.0,7186581596,donuts,4,8.125,3.0,0,16,2019,05,03,16,1.0
50035991,lucisous thai,manhattan,1099,1st ave,10065.0,2128131188,thai,47,23.106666666666666,0.9473684210526315,0,75,2019,05,03,76,0.9868421052631579
50038272,krispy krunchy chicken,queens,17933,hillside ave,11432.0,3475619139,american,12,12.791666666666666,2.0,0,24,2019,05,03,24,1.0
50040461,smoking monkey,brooklyn,214,greene ave,11238.0,3472676100,african,8,22.571428571428573,0.8571428571428571,0,14,2019,05,03,14,1.0
50043710,zurilee,brooklyn,755,flatbush ave,11226.0,7185136084,pizza,12,16.714285714285715,1.44,0,25,2019,05,03,25,1.0
50044089,kam hing cafe,manhattan,118,baxter st,10013.0,2129250425,bakery,19,17.387096774193548,1.2580645161290323,0,31,2019,05,03,31,1.0
50045582,dunkin donuts,manhattan,1964,3rd ave,10029.0,2123699610,donuts,5,9.272727272727273,3.0,0,11,2019,05,03,11,1.0
50046375,ichiba ramen,manhattan,125,university pl,10003.0,2127772495,japanese,40,57.45614035087719,0.8571428571428571,0,62,2019,05,03,63,0.9841269841269841
50046424,double zero,manhattan,65,2nd ave,10003.0,2127771608,american,10,14.333333333333334,1.3636363636363635,0,20,2019,05,03,22,0.9090909090909091
50047529,gleasons tavern,manhattan,206,w 41st st,10036.0,2123022167,american,5,11.0,2.7857142857142856,0,14,2019,05,03,14,1.0
50047691,deutsche bank,manhattan,345,park ave,10154.0,2124541327,cafãcoffeetea,4,4.4,3.0,0,5,2019,05,03,5,1.0
50050603,home deli  catering,queens,7135,73rd pl,11385.0,7186284005,delicatessen,16,20.346153846153847,1.9615384615384615,0,26,2019,05,03,26,1.0
50050729,el mekkah bar  grill,brooklyn,277,wyckoff ave,11237.0,9175183475,american,35,19.73469387755102,0.375,0,64,2019,05,03,64,1.0
50051111,lessings bulova corporate center,queens,7520,astoria blvd,11370.0,7182054044,american,23,20.272727272727273,1.2,0,35,2019,05,03,35,1.0
50055795,loreal cafe employee dining,manhattan,501,w 30th st,10001.0,2123362649,american,8,11.4,3.0,0,10,2019,05,03,10,1.0
50056678,tompkins square bagels,manhattan,184,2nd ave,10003.0,7188109857,delicatessen,18,18.967741935483872,1.064516129032258,0,31,2019,05,03,31,1.0
50058520,mulberry  vine,manhattan,155,e 44th st,10017.0,8083463012,american,16,16.22222222222222,1.2222222222222223,0,27,2019,05,03,27,1.0
50058917,starbucks coffee company 29897,manhattan,605,3rd ave,10158.0,2126159700,cafãcoffeetea,2,8.727272727272727,2.5384615384615383,0,11,2019,05,03,13,0.8461538461538461
50059447,swick 2,queens,3504,35th st,11106.0,9178168723,american,7,11.545454545454545,2.1818181818181817,0,11,2019,05,03,11,1.0
50059785,capy cafe,queens,4009,82nd st,11373.0,7183099905,spanish,25,37.609756097560975,0.9512195121951219,0,39,2019,05,03,41,0.9512195121951219
50060821,for five coffee roasters,manhattan,117,w 46th st,10036.0,3476193194,cafãcoffeetea,3,6.666666666666667,3.0,0,6,2019,05,03,6,1.0
50060932,525 lex restaurantm club loungeilly cafã,manhattan,525,lexington ave,10017.0,2127554000,american,29,26.489795918367346,0.6326530612244898,0,49,2019,05,03,49,1.0
50061025,subway,manhattan,21,maiden ln,10038.0,2125714417,sandwiches,5,10.75,2.0,0,12,2019,05,03,12,1.0
50063237,due fratelli pizzeria restaurant,queens,7623,37th ave,11372.0,5165034726,pizzaitalian,5,19.25,1.5,0,12,2019,05,03,12,1.0
50063685,emily,manhattan,35,downing st,10014.0,9179556434,american,31,22.228070175438596,0.7241379310344828,0,54,2019,05,03,58,0.9310344827586207
50065845,hong kong garden,queens,19511,69th ave,11365.0,7182641313,chinese,10,15.0,1.4,0,20,2019,05,03,20,1.0
50067018,e noodle house,queens,13620,roosevelt ave,11354.0,6467158153,chinese,17,26.31578947368421,0.9473684210526315,0,38,2019,05,03,38,1.0
50068260,golden krust caribbean bakery grill inc,bronx,3812,white plains rd,10467.0,7187981900,caribbean,14,22.0,1.0,0,24,2019,05,03,24,1.0
50071778,66s fusion inc,brooklyn,8,vanderbilt ave,11205.0,9179127032,asian,10,31.666666666666668,1.0,0,16,2019,05,03,18,0.8888888888888888
50071820,zaika new york,manhattan,230,e 44th st,10017.0,2126979797,indian,38,32.75,0.6481481481481481,0,54,2019,05,03,54,1.0
50071875,los arrieros,queens,7602,roosevelt ave,11372.0,7188983359,spanish,6,15.11111111111111,1.5,0,10,2019,05,03,10,1.0
50073562,italian village,manhattan,1494,1st ave,10075.0,2125355950,italian,12,16.352941176470587,1.411764705882353,0,17,2019,05,03,17,1.0
50074027,make my fish,manhattan,120,w 116th st,10026.0,9173883188,seafood,17,33.36363636363637,0.5,0,24,2019,05,03,24,1.0
50075872,abdullah sweets  restaurant,queens,7306,37th ave,11372.0,7184069457,indian,23,31.555555555555557,0.7,0,40,2019,05,03,40,1.0
50077271,deli guatelinda,brooklyn,6516,14th ave,11219.0,9174562929,mexican,44,37.74603174603175,0.21212121212121213,0,62,2019,05,03,66,0.9393939393939394
50077433,little pizza,queens,8404,astoria blvd,11370.0,7188999899,pizza,1,6.714285714285714,3.0,0,7,2019,05,03,7,1.0
50079280,mancora barapna masala,manhattan,344,e 6th st,10003.0,2122531011,indian,3,17.0,0.0,0,5,2019,05,03,6,0.8333333333333334
50080585,bluestone lane,manhattan,400,madison ave,10017.0,9175135747,cafãcoffeetea,13,23.473684210526315,0.2571428571428571,0,32,2019,05,03,35,0.9142857142857143
50080597,quad cinema,manhattan,34,w 13th st,10011.0,2122552243,cafãcoffeetea,17,29.92,0.5172413793103449,0,29,2019,05,03,29,1.0
50081564,lalys restaurant,queens,7519,roosevelt ave,11372.0,3472109560,american,9,24.210526315789473,1.105263157894737,0,19,2019,05,03,19,1.0
50083629,cmxcinebistro,manhattan,400,e 62nd st,10065.0,6466779388,american,5,31.23076923076923,0.0,0,13,2019,05,03,13,1.0
50084495,savor por favor,manhattan,157,2nd ave,10003.0,9172617100,mexican,3,23.0,0.0,0,4,2019,05,03,4,1.0
50084694,tia julia restaurant,queens,4008,case st,11373.0,9294243220,mexican,13,27.375,1.125,0,16,2019,05,03,16,1.0
50084757,tropic bowl,manhattan,45,1st ave,10003.0,3472869568,juice smoothies fruit salads,3,10.75,0.75,0,8,2019,05,03,8,1.0
50086493,hey hey canteen,manhattan,1000s,8th ave,10019.0,6464950478,asian,4,22.2,0.0,0,5,2019,05,03,5,1.0
50086535,juiceade,bronx,1345,southern blvd,10459.0,7189916369,juice smoothies fruit salads,3,13.2,1.2,0,5,2019,05,03,5,1.0
50086536,juice press,manhattan,10,columbus cir,10019.0,6469011318,juice smoothies fruit salads,4,43.2,1.0,0,6,2019,05,03,6,1.0
50086702,justinos pizzeria,manhattan,64,fulton st,10038.0,2124066200,pizza,4,34.0,1.0,0,6,2019,05,03,6,1.0
50086822,la abundancia bakery  restaurant,queens,15340,hillside ave,11432.0,7185939445,spanish,4,29.0,0.0,0,5,2019,05,03,5,1.0
50086854,crossfit spot,manhattan,55,amsterdam ave,10023.0,6463303791,juice smoothies fruit salads,2,39.0,0.0,0,3,2019,05,03,3,1.0
50087474,marinara,manhattan,483,amsterdam ave,10024.0,9172658780,pizzaitalian,3,10.0,1.5,0,4,2019,05,03,4,1.0
50088229,dang inasal,queens,6902,roosevelt ave,11377.0,7184268676,filipino,7,49.8,0.0,0,15,2019,05,03,15,1.0
50088263,cafe bee,manhattan,239,w 72nd st,10023.0,2127122227,american,2,12.666666666666666,1.0,0,6,2019,05,03,6,1.0
50088584,cranberry,queens,2802,42nd rd,11101.0,7187842784,american,7,47.75,0.75,0,8,2019,05,03,8,1.0
50088630,tia deli juice,bronx,962,e 167th st,10459.0,3474472135,juice smoothies fruit salads,7,32.09090909090909,0.0,0,13,2019,05,03,13,1.0
50088904,124 cafe,manhattan,53,e 124th st,10035.0,6465895292,american,2,24.4,1.2,0,5,2019,05,03,5,1.0
50088961,sushi yamana,brooklyn,6612,avenue u,11234.0,3477036257,asian,3,25.0,0.0,0,5,2019,05,03,5,1.0
50089268,clinton hall,brooklyn,247,metropolitan ave,11211.0,9294196988,american,8,65.45454545454545,0.0,1,11,2019,05,03,11,1.0
50089289,freshly bagel,manhattan,2067,broadway,10023.0,7186371005,bagelspretzels,5,28.5,0.9,0,10,2019,05,03,10,1.0
50089359,vip healthyfitjuice,queens,3438,38th st,11101.0,7189744916,juice smoothies fruit salads,2,5.0,1.5,0,2,2019,05,03,2,1.0
50089519,philly pretzel factory,manhattan,78,chambers st,10007.0,9293388169,hotdogspretzels,1,30.0,0.0,1,5,2019,05,03,5,1.0
50089521,xiang dragon chinese restaurant,manhattan,2331,1st ave,10035.0,6463185423,chinese,1,21.666666666666668,1.0,0,3,2019,05,03,3,1.0
50089669,sunset coffee shop and restaurant,brooklyn,5416,2nd ave,11220.0,7184397800,cafãcoffeetea,6,33.6,0.0,0,10,2019,05,03,10,1.0
50091360,up top grill,bronx,3257,white plains rd,10467.0,7184508630,caribbean,2,13.0,2.25,0,4,2019,05,03,4,1.0
40736005,petes candy store,brooklyn,709,lorimer street,11211.0,7183023770,american,16,11.0,1.5,0,16,2019,05,02,16,1.0
40804423,lewis drug store locanda vini e olii,brooklyn,129,gates avenue,11238.0,7186229202,italian,5,8.181818181818182,3.0,0,11,2019,05,02,11,1.0
40810784,barrage,manhattan,401,west   47 street,10036.0,2125869390,american,13,12.428571428571429,2.142857142857143,0,21,2019,05,02,21,1.0
40857838,dylans candy bar,manhattan,1011,3 avenue,10065.0,6467350078,ice cream gelato yogurt ices,15,15.0,1.7142857142857142,0,28,2019,05,02,28,1.0
40865192,nathans famous,manhattan,2,penn plaza,10121.0,2126300320,hotdogs,2,4.833333333333333,3.0,0,6,2019,05,02,6,1.0
40866304,dominos,queens,2555,steinway street,11103.0,7185453030,pizza,17,18.057142857142857,1.0851063829787233,0,47,2019,05,02,47,1.0
40872438,elmo,manhattan,156,7 avenue,10011.0,2123378000,american,27,15.461538461538462,1.6153846153846154,0,52,2019,05,02,52,1.0
40936721,el paisa bar,queens,8705,northern boulevard,11372.0,7184295622,latin cuban dominican puerto rican south  central american,10,18.59259259259259,1.6666666666666667,0,27,2019,05,02,27,1.0
41021272,fiores pizza,manhattan,165,bleecker street,10012.0,2129828663,pizza,31,21.536585365853657,0.8936170212765957,0,45,2019,05,02,47,0.9574468085106383
41046514,wagner college  hawks nest,staten island,631,howard avenue,10301.0,7183903246,american,5,7.666666666666667,3.0,0,12,2019,05,02,12,1.0
41050224,stop deli,queens,4301,31 avenue,11103.0,7182678789,delicatessen,13,13.064516129032258,2.4193548387096775,0,31,2019,05,02,31,1.0
41081943,subway,manhattan,1,penn plaza,10119.0,2122394212,sandwiches,13,14.666666666666666,1.64,0,25,2019,05,02,25,1.0
41088798,mendys restaurant,brooklyn,792,eastern parkway,11213.0,7189078877,jewishkosher,19,27.6875,1.125,0,30,2019,05,02,32,0.9375
41131836,blue mountain cuisine restaurant,bronx,3701,eastchester rd fl 1,10466.0,7186548862,caribbean,9,13.130434782608695,1.9565217391304348,0,23,2019,05,02,23,1.0
41139612,blossom,manhattan,187,9 avenue,10011.0,2126271144,american,18,27.28125,0.96875,0,31,2019,05,02,32,0.96875
41153089,subway,staten island,680,arthur kill road,10308.0,347_215_29,sandwiches,7,10.181818181818182,3.0,0,11,2019,05,02,11,1.0
41172104,bowery eats bowery kitchen appliance,manhattan,460,west   16 street,10011.0,2123764982,american,12,12.307692307692308,1.7692307692307692,0,13,2019,05,02,13,1.0
41181327,dirty bird togo,manhattan,204,west   14 street,10011.0,2126204836,chicken,38,26.428571428571427,0.6428571428571429,0,54,2019,05,02,56,0.9642857142857143
41184912,plaza deli,manhattan,127,john street,10038.0,2129437735,delicatessen,63,26.238095238095237,0.8333333333333334,0,105,2019,05,02,108,0.9722222222222222
41195691,f  j pine restaurant,bronx,1913,bronxdale avenue,10462.0,7187925956,italian,42,23.876923076923077,0.8923076923076924,0,65,2019,05,02,65,1.0
41244358,coco moka cafe,manhattan,2,penn plaza,10121.0,2127142777,american,24,23.844444444444445,1.0212765957446808,0,47,2019,05,02,47,1.0
41250691,subway,manhattan,421,2 avenue,10010.0,2125322720,sandwiches,6,11.0,3.0,0,14,2019,05,02,14,1.0
41279817,mothers,brooklyn,347,graham avenue,11211.0,7183847778,american,36,30.77777777777778,0.6984126984126984,0,59,2019,05,02,63,0.9365079365079365
41283714,cps events at the plaza,manhattan,768,5 avenue,10019.0,2125490520,american,11,15.458333333333334,2.0,0,24,2019,05,02,24,1.0
41286006,mulata grill,brooklyn,180,irving avenue,11237.0,7184430787,peruvian,7,17.166666666666668,1.25,0,12,2019,05,02,12,1.0
41289750,north square,manhattan,103,waverly place,10011.0,2122541200,american,6,8.818181818181818,3.0,0,11,2019,05,02,11,1.0
41313271,golden punjab indian restaurant,queens,13002,101 avenue,11419.0,7188491820,indian,52,20.710843373493976,0.9080459770114943,0,83,2019,05,02,87,0.9540229885057471
41318698,nanoosh,manhattan,2012,broadway,10023.0,2123627922,mediterranean,9,10.636363636363637,2.75,0,12,2019,05,02,12,1.0
41338348,drop off service,manhattan,211,avenue a,10009.0,2122602914,american,11,7.705882352941177,1.588235294117647,0,17,2019,05,02,17,1.0
41351765,chung hing chinese restaurant,brooklyn,157,court street,11201.0,7186255089,chinese,9,12.090909090909092,1.9090909090909092,0,22,2019,05,02,22,1.0
41359575,vanilla cafe,queens,8701,roosevelt avenue,11372.0,7185070807,bakery,23,26.545454545454547,1.2173913043478262,1,46,2019,05,02,46,1.0
41362111,panna ii garden indian restaurant,manhattan,93,1st ave,10003.0,2125984610,indian,26,18.25531914893617,1.148936170212766,0,47,2019,05,02,47,1.0
41363953,gramercy terrace gramercy park hotel,manhattan,2,lexington avenue,10010.0,2122012171,american,16,14.71875,1.78125,0,30,2019,05,02,32,0.9375
41371684,subway,bronx,2432,grand concourse,10458.0,7183655308,sandwiches,14,13.608695652173912,1.56,0,23,2019,05,02,25,0.92
41376704,marios italian pizzeria,bronx,3824,dyre ave,10466.0,7183258770,pizzaitalian,5,10.272727272727273,2.1818181818181817,0,11,2019,05,02,11,1.0
41422482,parkchester fish  chips,bronx,1884,archer street,10462.0,7188282535,seafood,15,18.764705882352942,1.2352941176470589,0,34,2019,05,02,34,1.0
41424474,john jay dining hall,manhattan,515,west  114 street,10027.0,2128547162,american,10,26.454545454545453,1.6363636363636365,0,11,2019,05,02,11,1.0
41451984,faithys kitchen,bronx,3907,dyre avenue,10466.0,7186550780,caribbean,22,17.81081081081081,1.263157894736842,0,34,2019,05,02,38,0.8947368421052632
41455224,manor oktoberfest forest hills,queens,7311,yellowstone boulevard,11375.0,7185442400,german,15,15.32,1.7586206896551724,0,29,2019,05,02,29,1.0
41459139,knitting factory,brooklyn,361,metropolitan avenue,11211.0,7326143945,american,21,18.208333333333332,0.8571428571428571,0,27,2019,05,02,28,0.9642857142857143
41459932,farmers pizza  grill,queens,11725,farmers boulevard,11412.0,7187232003,american,19,19.636363636363637,1.2,0,35,2019,05,02,35,1.0
41461341,popeyes louisiana kitchen,bronx,1201,east  233 street,10466.0,3479454700,chicken,17,15.89655172413793,1.2,0,30,2019,05,02,30,1.0
41475175,cafe via espresso,queens,2409,steinway street,11103.0,7185453290,cafãcoffeetea,9,13.173913043478262,2.04,0,24,2019,05,02,25,0.96
41477087,le gamin,brooklyn,108,franklin street,11222.0,7187707918,french,57,20.6046511627907,0.8863636363636364,0,87,2019,05,02,88,0.9886363636363636
41477498,sweet sweet sues,staten island,895,annadale road,10312.0,7189662253,american,7,10.6875,3.0,0,16,2019,05,02,16,1.0
41480215,pectopah typmah gurman restaurant,brooklyn,2402,coney island avenue,11223.0,7183823300,russian,10,16.52173913043478,1.173913043478261,0,23,2019,05,02,23,1.0
41511781,le pain quotidien,manhattan,65,bleecker street,10012.0,6467974922,bakery,20,11.631578947368421,1.1428571428571428,0,42,2019,05,02,42,1.0
41516864,miso sushi,brooklyn,40,main street,11201.0,7188588388,japanese,18,11.777777777777779,1.6666666666666667,0,36,2019,05,02,36,1.0
41530529,sabor latino,brooklyn,347,union avenue,11211.0,7183023935,latin cuban dominican puerto rican south  central american,9,14.764705882352942,1.588235294117647,0,17,2019,05,02,17,1.0
41548430,mesa azteca,brooklyn,91,wyckoff avenue,11237.0,3473782838,mexican,36,19.3015873015873,0.7058823529411765,0,66,2019,05,02,68,0.9705882352941176
41548819,b  r spice west indian food,queens,11106,farmers boulevard,11412.0,7182641000,caribbean,37,27.966101694915253,1.03125,0,62,2019,05,02,64,0.96875
41558242,healthy living 106 herbalife,manhattan,167,east  106 street,10029.0,6464181486,other,10,22.695652173913043,1.434782608695652,0,23,2019,05,02,23,1.0
41561944,herbalife,brooklyn,517,51 street,11220.0,3475810351,juice smoothies fruit salads,0,2.3333333333333335,3.0,0,6,2019,05,02,6,1.0
41562415,the comfort diner,manhattan,214,east   45 street,10017.0,2128674555,american,25,16.94736842105263,0.9761904761904762,0,40,2019,05,02,42,0.9523809523809523
41563445,gmt tavern,manhattan,142,bleecker street,10012.0,6468633776,american,18,18.473684210526315,1.5789473684210527,0,38,2019,05,02,38,1.0
41566261,bar centrale,manhattan,322,west   46 street,10036.0,2125813130,american,9,10.0,3.0,0,12,2019,05,02,12,1.0
41566907,las panteras negras restaurant,manhattan,2130,2 avenue,10029.0,9172612568,mexican,27,25.186046511627907,1.0666666666666667,0,45,2019,05,02,45,1.0
41567009,starbucks,queens,3101,broadway,11106.0,7187771305,cafãcoffeetea,3,7.5,3.0,0,12,2019,05,02,12,1.0
